"cause","effect"
"RAVER1","PTBP1"
"RAVER1","VCL"
"RB1","AATF"
"RB1","BRF1"
"RB1","CCND2"
"RB1","CCNT2"
"RB1","ENC1"
"RB1","EP300"
"RB1","HDAC3"
"RB1","MNDA"
"RB1","RBBP5"
"RB1","RBBP9"
"RB1","RING1"
"RB1","SUV39H1"
"RB1","TRIP11"
"RB1","USP4"
"RBBP4","HDAC1"
"RBBP4","HDAC2"
"RBBP4","SIN3A"
"RBBP4","SPEN"
"RBBP5","RB1"
"RBBP7","HDAC1"
"RBBP7","HDAC2"
"RBBP7","ING1"
"RBBP7","RBBP4"
"RBBP7","SIN3A"
"RBBP7","SUV39H1"
"RBBP8","CTBP1"
"RBBP8","LMO4"
"RBBP8","RBL1"
"RBBP8","RBL2"
"RBBP8","SIAH1"
"RBL1","BRF1"
"RBL1","CCNA2"
"RBL1","CDK2"
"RBL1","RBBP9"
"RBL2","BRF1"
"RBL2","MNDA"
"RBL2","RBBP9"
"RBL2","SUV39H1"
"RBM10","NHP2L1"
"RBM12","TBC1D4"
"RBM23","GTF3C1"
"RBM41","CCDC85B"
"RBM42","FHL3"
"RBM7","CCDC85B"
"RBM8A","MAGOH"
"RBP1","MED26"
"RBP1","SIN3A"
"RBPJ","NCOR1"
"RBPJ","SPEN"
"RBX1","CAND1"
"RBX1","CSNK1E"
"RCC1","SPRED1"
"RCC1","TLE1"
"RCC1","XPO1"
"RCN2","GABARAPL2"
"RCOR1","REST"
"RDH11","BLOC1S2"
"RDX","ARHGDIA"
"RDX","MYLK"
"RDX","ROCK1"
"RDX","TSC1"
"RECQL5","MAPK8IP1"
"RECQL5","TOP3B"
"REL","ELF1"
"REL","NFKB1"
"REL","NFKBIB"
"REL","NKRF"
"REL","SP1"
"RELA","CEBPB"
"RELA","EGR1"
"RELA","HDAC1"
"RELA","IRF1"
"RELA","MEN1"
"RELA","MYC"
"RELA","NFKB1"
"RELA","NFKB2"
"RELA","NFKBIE"
"RELA","PML"
"RELA","RELB"
"RELA","SNIP1"
"RELA","TAF4B"
"RELA","TAF6"
"RELA","TLE1"
"RELA","TWIST1"
"REN","KCTD15"
"REN","RENBP"
"REPS1","RALA"
"REPS2","CDK5RAP2"
"REPS2","EPS15"
"RERE","CBFA2T2"
"RERE","ZMYND8"
"REST","RCOR1"
"RET","AKAP5"
"RET","DOK1"
"RET","DOK2"
"RET","DOK3"
"RET","GAB1"
"RET","GRB2"
"RET","MAPK3"
"RET","SHC3"
"REV3L","HDAC4"
"RFC1","BRD4"
"RFC2","PCNA"
"RFC3","PCNA"
"RFC3","RFC1"
"RFC4","BRD4"
"RFC5","PCNA"
"RFC5","RFC2"
"RFC5","RFC4"
"RFWD2","SIPA1"
"RFX1","NFIC"
"RFX1","NFIX"
"RFX3","RFX2"
"RFX3","RFX4"
"RFX4","RFX2"
"RFX4","RFX3"
"RGL1","HRAS"
"RGL1","RIT1"
"RGS1","MAP3K12"
"RGS1","SKAP2"
"RGS12","GNAI2"
"RGS12","PLCB3"
"RGS12","YWHAG"
"RGS14","RAP2A"
"RGS16","GNAI2"
"RGS16","LYN"
"RGS16","RGS20"
"RGS18","GNAI2"
"RGS19","GNAI2"
"RGS19","MAPK1"
"RGS19","MAPK6"
"RGS19","NUP62"
"RGS19","RPS2"
"RGS19","TGFBR1"
"RGS2","HSPA8"
"RGS2","PRKCA"
"RGS2","RABAC1"
"RGS3","MAPK12"
"RGS3","YWHAE"
"RGS3","YWHAQ"
"RGS4","GNAI2"
"RGS7","GNB5"
"RGS7","YWHAB"
"RGS7","YWHAQ"
"RHEB","RAF1"
"RHEBL1","ACVR1"
"RHO","ARR3"
"RHOA","ARHGDIA"
"RHOA","DAAM1"
"RHOA","DIAPH1"
"RHOA","KTN1"
"RHOA","PLD1"
"RHOA","PPP1R12A"
"RHOA","RAP1GDS1"
"RHOB","PPP2CA"
"RHOC","CIT"
"RHOC","ROCK1"
"RHOD","ACVR1"
"RHOD","DIAPH2"
"RHOD","SMURF2"
"RHOD","TGFBR1"
"RHOG","DOCK1"
"RHOG","KTN1"
"RHOG","TGFBR1"
"RHOJ","ACVR1"
"RHOQ","CDC42EP1"
"RHOQ","COPB1"
"RHOQ","PARD6A"
"RHOQ","PRKCI"
"RHOQ","TRIP10"
"RHOQ","WASL"
"RHPN1","KRT15"
"RHPN2","KRT18"
"RHPN2","SMURF1"
"RIBC2","GTPBP3"
"RIBC2","RAD54B"
"RIBC2","TRIM37"
"RIC8B","GNAQ"
"RIF1","BRD7"
"RIF1","CHD3"
"RIF1","GIT1"
"RIF1","KIAA1377"
"RIF1","PPP1CA"
"RIF1","SETDB1"
"RILPL2","PIK3R2"
"RIMS1","SYT1"
"RIN1","HRAS"
"RIN1","YWHAB"
"RIN1","YWHAE"
"RING1","CBX7"
"RING1","CBX8"
"RING1","RYBP"
"RINT1","RAD50"
"RINT1","RBL2"
"RIPK1","MAP3K3"
"RIPK1","TNFAIP3"
"RIPK1","TRAF1"
"RIPK1","TRIM38"
"RIPK2","IKBKG"
"RIPK2","SMURF1"
"RIT1","IFRD1"
"RIT1","SMURF1"
"RMI1","UBE3A"
"RND1","FRS2"
"RNF11","ANKRD13A"
"RNF11","CALCOCO2"
"RNF11","CBLB"
"RNF11","DCUN1D1"
"RNF11","ERCC6"
"RNF11","HERC1"
"RNF11","IKBKG"
"RNF11","NEDD4"
"RNF11","SMURF1"
"RNF11","SMURF2"
"RNF11","SNRNP70"
"RNF11","UBE2D1"
"RNF11","UBQLN2"
"RNF11","WWP1"
"RNF11","ZFYVE9"
"RNF126","UBE2D1"
"RNF126","UBE2D3"
"RNF138","QKI"
"RNF139","COPS5"
"RNF19A","C11orf58"
"RNF19A","MAP3K7"
"RNF19A","NUDT21"
"RNF19A","RPS6KA5"
"RNF2","BMI1"
"RNF2","RING1"
"RNF2","RYBP"
"RNF216","RIPK1"
"RNF216","UBE2L3"
"RNF4","GSC2"
"RNF5","PXN"
"ROBO1","ABL1"
"ROBO1","ROBO2"
"ROBO1","SLIT2"
"ROBO1","SRGAP1"
"ROBO1","SRGAP2"
"ROBO2","CPE"
"ROBO2","PPP1R1B"
"ROBO2","SLIT3"
"ROBO2","UBQLN4"
"ROCK1","ADD1"
"ROCK1","CDC34"
"ROCK1","PPP1R12A"
"ROGDI","COPS6"
"ROR2","WNT5A"
"RORA","EP300"
"RORA","NCOA1"
"RORA","PROX1"
"RPA1","ANXA7"
"RPA1","MCM2"
"RPA1","MCM7"
"RPA1","PCNA"
"RPA1","PRKDC"
"RPA1","RAD51"
"RPA1","RAD52"
"RPA1","RBM23"
"RPA1","RCC1"
"RPA1","TCEA2"
"RPA1","WRN"
"RPA2","MCM2"
"RPA2","MCM5"
"RPA2","TLE1"
"RPGR","SMC3"
"RPH3A","GCH1"
"RPH3A","RAB27A"
"RPH3A","RAB8A"
"RPIA","NIF3L1"
"RPL13","TK1"
"RPL18A","AES"
"RPL18A","NEDD4"
"RPL29","CHD3"
"RPL6","RPL29"
"RPL8","DUSP23"
"RPL8","SUPT5H"
"RPLP1","ASCC2"
"RPLP1","ATP5J2"
"RPLP1","BRD7"
"RPLP1","CDK2AP2"
"RPLP1","MAP1LC3B"
"RPLP1","PPP2CB"
"RPLP1","UBE2D3"
"RPLP2","RPLP1"
"RPN1","PDPK1"
"RPP14","LIMD1"
"RPS10","PTTG1"
"RPS14","TAF9"
"RPS15A","CDC37"
"RPS19","VCL"
"RPS2","CDKN1A"
"RPS2","TK1"
"RPS27A","ACVR1"
"RPS27A","RNF11"
"RPS27A","SMURF1"
"RPS28","PFDN1"
"RPS6KA2","MAP2K1"
"RPS6KA2","MAPK1"
"RPS6KA3","ATP5J"
"RPS6KA3","BAD"
"RPS6KA3","EIF3C"
"RPS6KA3","HMGN2"
"RPS6KA3","MAPK1"
"RPS6KA3","PDPK1"
"RPS6KA3","STK11"
"RPS6KA5","BAD"
"RPS6KA5","DDAH2"
"RPS6KA5","EIF4EBP1"
"RPS6KA5","EP300"
"RPS6KA5","HIST3H2BB"
"RPS6KB1","EIF4EBP1"
"RPS6KB1","MAPK1"
"RPS6KB1","PDPK1"
"RPS6KB1","PPP2CA"
"RPS6KB1","STK11"
"RPS6KB2","PDPK1"
"RPSA","VCL"
"RRAD","CSNK2A1"
"RRAS","BCL2"
"RRAS","NAV2"
"RRAS2","RABAC1"
"RRAS2","SMURF2"
"RRBP1","PRKD2"
"RRM1","YWHAG"
"RSU1","GSK3B"
"RTKN","RAC2"
"RTKN","RHOA"
"RTKN","TGFBR1"
"RTN3","PLEKHF2"
"RTN4","COL4A3BP"
"RTN4","LRCH4"
"RTN4","PLEKHF2"
"RTN4","RTN3"
"RTN4IP1","EXOC7"
"RTN4R","RTN4IP1"
"RUFY2","BMX"
"RUFY2","DUSP23"
"RUFY2","SF3B3"
"RUNDC3A","TFPT"
"RUNX1","ELF2"
"RUNX1","SUV39H1"
"RUNX1T1","BCL6"
"RUNX1T1","CBFA2T2"
"RUNX1T1","CBFA2T3"
"RUNX1T1","GFI1"
"RUNX1T1","HDAC1"
"RUNX1T1","HDAC8"
"RUNX1T1","ID3"
"RUNX1T1","NCOR1"
"RUNX1T1","SIN3A"
"RUNX1T1","TCF12"
"RUNX1T1","TCF3"
"RUNX1T1","TCF4"
"RUNX2","AR"
"RUNX2","CEBPB"
"RUNX2","EP300"
"RUNX2","ETS1"
"RUNX2","FOS"
"RUNX2","HDAC4"
"RUNX2","MSX2"
"RUNX2","RB1"
"RUNX2","SMAD3"
"RUNX2","YAP1"
"RUVBL1","ACTL6A"
"RUVBL2","HDAC4"
"RUVBL2","RUVBL1"
"RXRA","DNTTIP2"
"RXRA","HMGA1"
"RXRA","MAPK7"
"RXRA","NCOR2"
"RXRA","NR1I2"
"RXRA","POU2F1"
"RXRA","PPARG"
"RXRA","RARG"
"RXRA","RNF8"
"RXRA","TAF11"
"RXRA","TBP"
"RXRA","THRA"
"RXRB","NR1I2"
"RXRB","PPARG"
"RXRB","TAF11"
"RXRB","THRA"
"RXRG","PPARG"
"RXRG","RARG"
"RXRG","THRA"
"RYBP","RING1"
"RYBP","RNF2"
"RYK","EPHB3"
"RYK","WNT1"
"RYR1","FKBP1A"
"RYR1","PDK2"
"RYR1","RCN2"
"S100A1","GJA1"
"S100A1","RYR1"
"S100A1","S100A4"
"S100A11","ACTB"
"S100A13","VCL"
"S100A4","METAP2"
"S100A4","MYH10"
"S100A6","ECD"
"S100A8","CDKN1A"
"S100A8","CHGB"
"S100B","GFAP"
"S100B","S100A1"
"S100B","S100A6"
"S100B","STK38"
"S100B","SUGT1"
"S1PR1","CAV1"
"S1PR1","PDGFRB"
"S1PR3","GNA13"
"S1PR4","GNA12"
"S1PR5","GNAO1"
"SAA1","COL4A1"
"SAA1","COL4A2"
"SAA1","COL4A3"
"SAA1","LAMA1"
"SAAL1","SNW1"
"SACS","ZNRD1"
"SAFB","CDC37"
"SAFB","CHD1"
"SAFB","MAP1LC3B"
"SAFB","SAFB2"
"SAFB","TAF15"
"SAFB2","SORBS3"
"SALL1","HDAC1"
"SAP30","HDAC2"
"SAP30BP","SUPT5H"
"SATB1","BAZ1A"
"SATB1","EP300"
"SATB1","HDAC1"
"SATB1","KAT2B"
"SATB1","SMARCA5"
"SCAMP1","ITSN1"
"SCAMP1","UBE3A"
"SCARB1","APOA1"
"SCARB1","PEX5"
"SCFD1","DLST"
"SCFD1","VCL"
"SCFD1","XRN2"
"SCG5","UBQLN4"
"SCIN","ACTG1"
"SCTR","PRKAR2A"
"SDC1","HGF"
"SDC1","MMP14"
"SDC2","EZR"
"SDC2","FN1"
"SDC2","PRKCA"
"SDC2","PRKCB"
"SDC2","REG3A"
"SDC2","SDCBP"
"SDC2","SPARC"
"SDC3","ARRB1"
"SDC3","COL5A1"
"SDC3","FYN"
"SDC3","LCK"
"SDC3","PTN"
"SDCBP","EPHB2"
"SDCBP","RNF11"
"SDCBP","ULK1"
"SDF4","ANXA7"
"SDF4","CDKN1A"
"SDF4","RAP1B"
"SDF4","TK1"
"SDK1","PRPF40A"
"SDPR","PLEKHF2"
"SEC31A","PFDN1"
"SEC31A","TNNT1"
"SECISBP2","ATXN7L3"
"SELE","CD44"
"SELE","PTPN11"
"SELE","PXN"
"SELE","SELPLG"
"SELE","SERPING1"
"SELE","VCL"
"SELL","CD4"
"SELL","CFH"
"SELL","EMCN"
"SELL","GRB2"
"SELL","MSN"
"SELL","SELE"
"SELL","SELPLG"
"SELP","EZR"
"SELP","FUT4"
"SELP","GP1BA"
"SELP","SELPLG"
"SELP","SERPING1"
"SELP","VCAN"
"SELPLG","BACE1"
"SELPLG","CTSG"
"SELPLG","SYK"
"SEMA4C","NCDN"
"SEMA4D","CD72"
"SENP2","CDK5RAP2"
"SENP2","SUMO1"
"SEPHS1","IGSF21"
"SEPHS1","UNC119"
"SEPT2","DAZAP2"
"SEPT2","STX1A"
"SEPT4","SNCAIP"
"SEPT5","MAPK6"
"SEPT5","PFN2"
"SEPT5","SEPT4"
"SERBP1","DAXX"
"SERBP1","KAT2B"
"SERBP1","TDG"
"SERF2","MDFI"
"SERF2","QKI"
"SERPINA4","TNNT1"
"SERPINA5","PLAT"
"SERPINB6","KLK2"
"SERPINB8","CAP1"
"SERPINB9","BRD7"
"SERPINB9","COPS6"
"SERPINB9","PRPF40A"
"SERPINE1","IGFBP5"
"SERPINE1","KLK2"
"SERPINE1","LRP1"
"SERPINE1","MMP3"
"SERPINE1","PLAT"
"SERPINE1","PLAU"
"SERPINE1","UBQLN4"
"SERPINE2","COL4A1"
"SERPINE2","COL4A2"
"SERPINE2","COL4A3"
"SERPINF2","TGM2"
"SERPING1","C1R"
"SERPING1","C1S"
"SERPING1","PLAT"
"SERPINH1","CEP70"
"SERPINH1","FEZ1"
"SERPINH1","SLC2A4"
"SET","EP300"
"SET","HMGB2"
"SET","TAF1A"
"SETD2","ATXN1"
"SETD5","CCDC85B"
"SETD7","TAF10"
"SETDB1","CDKN1A"
"SETDB1","HDAC2"
"SETDB1","HIST3H3"
"SETDB1","NIPSNAP3A"
"SETDB1","SNIP1"
"SETDB1","TCERG1"
"SF1","TAF15"
"SF1","TCERG1"
"SF3A1","SMURF1"
"SF3A1","TCERG1"
"SF3A3","TCERG1"
"SF3B1","DYRK1A"
"SF3B1","EP300"
"SF3B1","SF3B3"
"SF3B1","SNIP1"
"SF3B1","TCERG1"
"SF3B2","C8orf33"
"SF3B3","NOL12"
"SF3B3","TAF9"
"SF3B3","YWHAG"
"SF3B4","MAPK9"
"SF3B4","TCERG1"
"SFI1","KRT19"
"SFN","WDYHV1"
"SFPQ","EXOSC5"
"SFPQ","TOP1"
"SGK1","NEDD4"
"SGK3","GSK3B"
"SGK3","PDPK1"
"SGSM2","CHD3"
"SGSM2","GDPD2"
"SGSM2","PNO1"
"SGTA","GPX7"
"SGTA","HSP90AA1"
"SGTA","NME3"
"SGTA","TMPO"
"SGTB","RAI2"
"SGTB","TMPO"
"SH2B1","NTRK1"
"SH2B2","CBL"
"SH2B2","SORBS1"
"SH2B3","FLNA"
"SH2B3","GRB2"
"SH2D1A","GRB2"
"SH2D2A","LCK"
"SH2D3C","BCAR1"
"SH2D3C","NEDD9"
"SH2D3C","SNCAIP"
"SH3BP1","HCK"
"SH3BP2","LAT"
"SH3BP2","LCK"
"SH3BP2","PLCG2"
"SH3BP2","VAV1"
"SH3BP5","MAPK8"
"SH3D19","ADAM15"
"SH3D19","SOS2"
"SH3GL1","HGS"
"SH3GL1","ITCH"
"SH3GL1","KPNA3"
"SH3GL1","PSAP"
"SH3GL1","SEPT8"
"SH3GL1","SH3D19"
"SH3GL2","TMEM108"
"SH3GL3","CRIP1"
"SH3GL3","SEPT8"
"SH3GL3","SH3GL2"
"SH3GLB1","HTT"
"SH3KBP1","CBLB"
"SH3RF1","SIAH1"
"SHANK1","ABCA1"
"SHANK1","DLG4"
"SHANK1","RPS6KA2"
"SHANK1","SPTAN1"
"SHANK1","TANC1"
"SHANK2","ARHGEF7"
"SHANK2","CTTN"
"SHANK2","DLG4"
"SHANK2","DLGAP1"
"SHBG","AP2A1"
"SHBG","DSTN"
"SHBG","SRI"
"SHBG","UBE3A"
"SHC1","AP2A1"
"SHC1","C11orf58"
"SHC1","CBLC"
"SHC1","CDH5"
"SHC1","DUSP23"
"SHC1","FCGR2A"
"SHC1","GAB2"
"SHC1","GRAP"
"SHC1","GRB7"
"SHC1","HMOX2"
"SHC1","ILK"
"SHC1","INSR"
"SHC1","NPM1"
"SHC1","NUDT21"
"SHC1","PRKCA"
"SHC1","PTPN2"
"SHC1","SRC"
"SHC1","TPR"
"SHC3","EGFR"
"SHPRH","LPP"
"SHPRH","YWHAG"
"SIAH1","RBBP8"
"SIAH1","UBE2D1"
"SIAH1","UBE2I"
"SIAH2","UBE2L6"
"SIGIRR","IRAK1"
"SIGIRR","TRAF6"
"SIGLEC10","FLNA"
"SIGLEC7","GRB2"
"SIGMAR1","ANK2"
"SIN3A","CBFA2T2"
"SIN3A","CTBP1"
"SIN3A","MAD1L1"
"SIN3A","PHF12"
"SIPA1","PLCB3"
"SIRPA","JAK2"
"SIRT1","EP300"
"SIRT2","KAT2A"
"SIRT6","UBE2D1"
"SIT1","GRB2"
"SIVA1","ABL2"
"SIX5","EYA3"
"SIX5","SRF"
"SKAP1","GRB2"
"SKAP2","HCK"
"SKAP2","PRAM1"
"SKAP2","TGFBR1"
"SKI","GLI2"
"SKI","GLI3"
"SKI","MECP2"
"SKI","NCOR1"
"SKI","NFIX"
"SKI","SIN3A"
"SKIL","ASCC3"
"SKIL","CDC27"
"SKIL","CHD3"
"SKIL","HIPK1"
"SKIL","NCOR1"
"SKIL","PIAS1"
"SKIL","PIAS3"
"SKIL","PYCR2"
"SKIL","RNF4"
"SKIL","SKI"
"SKIL","SMAD1"
"SKIL","SMAD2"
"SKIL","SMAD3"
"SKIL","SMAD4"
"SKIL","SNRNP70"
"SKIL","SVEP1"
"SKIL","TDG"
"SKIL","TRAK1"
"SKIL","TRIM62"
"SKIL","TTF2"
"SKIL","UBE2I"
"SKIL","ZBTB6"
"SKIL","ZMYM2"
"SKIL","ZMYM5"
"SKIV2L2","EXOSC5"
"SKP1","FBXO4"
"SKP1","RBX1"
"SKP2","CCNA2"
"SKP2","CCNT1"
"SKP2","CDC34"
"SKP2","CDK2"
"SKP2","CDKN1C"
"SKP2","CUL1"
"SKP2","CUL4A"
"SLA","LAT"
"SLA","PAFAH1B2"
"SLA","VAV1"
"SLA2","CBL"
"SLAMF1","FYN"
"SLC1A6","FTH1"
"SLC22A11","SLC9A3R1"
"SLC25A6","CHGB"
"SLC25A6","STRN4"
"SLC27A6","CUTC"
"SLC2A1","GAPDH"
"SLC2A1","PTK2B"
"SLC4A7","YWHAB"
"SLC8A1","PPP3CB"
"SLC8A1","YWHAB"
"SLC8A1","YWHAE"
"SLC9A3R1","CNGA2"
"SLC9A3R1","CTNNB1"
"SLC9A3R1","EZR"
"SLC9A3R1","NF2"
"SLC9A3R1","SLC22A5"
"SLC9A3R1","SLC4A8"
"SLC9A3R1","TBC1D10A"
"SLC9A3R1","YAP1"
"SLC9A3R2","PLCB3"
"SLC9A3R2","TAZ"
"SLC9A3R2","WWTR1"
"SLIT2","ROBO2"
"SMAD1","AR"
"SMAD1","EP300"
"SMAD1","FHL5"
"SMAD1","GLI3"
"SMAD1","HECW2"
"SMAD1","MGA"
"SMAD1","MKL2"
"SMAD1","PREB"
"SMAD1","PSMB4"
"SMAD1","SMAD5"
"SMAD1","SMAD6"
"SMAD1","SMARCE1"
"SMAD1","SMURF1"
"SMAD1","SNIP1"
"SMAD1","TTF1"
"SMAD1","ZBTB44"
"SMAD1","ZEB2"
"SMAD1","ZNF184"
"SMAD1","ZNF423"
"SMAD1","ZNF510"
"SMAD2","BAZ1A"
"SMAD2","BTBD2"
"SMAD2","CREBBP"
"SMAD2","DCUN1D1"
"SMAD2","DYNC1H1"
"SMAD2","E2F4"
"SMAD2","EP300"
"SMAD2","FOXO3"
"SMAD2","GATAD2B"
"SMAD2","GSC"
"SMAD2","HOXA13"
"SMAD2","JUN"
"SMAD2","LEMD3"
"SMAD2","LITAF"
"SMAD2","LMO2"
"SMAD2","MED15"
"SMAD2","MEF2A"
"SMAD2","NCOA6"
"SMAD2","PAXIP1"
"SMAD2","PEX19"
"SMAD2","RBL1"
"SMAD2","RPS14"
"SMAD2","RXRA"
"SMAD2","SKI"
"SMAD2","SMURF1"
"SMAD2","SNIP1"
"SMAD2","SP1"
"SMAD2","TGIF1"
"SMAD2","ZMYND11"
"SMAD2","ZNF41"
"SMAD2","ZNHIT6"
"SMAD3","AR"
"SMAD3","ATF2"
"SMAD3","CEBPB"
"SMAD3","CREBBP"
"SMAD3","CTCF"
"SMAD3","CXXC5"
"SMAD3","DACH1"
"SMAD3","E2F5"
"SMAD3","EP300"
"SMAD3","EPAS1"
"SMAD3","ETS1"
"SMAD3","FOS"
"SMAD3","FOXH1"
"SMAD3","FOXO1"
"SMAD3","FOXO4"
"SMAD3","GLI3"
"SMAD3","HEYL"
"SMAD3","HIVEP1"
"SMAD3","JUN"
"SMAD3","KAT2B"
"SMAD3","LEF1"
"SMAD3","MEN1"
"SMAD3","MYC"
"SMAD3","PLAG1"
"SMAD3","PRDM4"
"SMAD3","RBL1"
"SMAD3","RBX1"
"SMAD3","RNF111"
"SMAD3","RUNX2"
"SMAD3","SF3A1"
"SMAD3","SKI"
"SMAD3","SP1"
"SMAD3","TP73"
"SMAD3","YBX1"
"SMAD3","ZEB1"
"SMAD3","ZEB2"
"SMAD3","ZNF329"
"SMAD4","AR"
"SMAD4","ATF2"
"SMAD4","CEBPB"
"SMAD4","CREBBP"
"SMAD4","CTCF"
"SMAD4","DCP1A"
"SMAD4","EP300"
"SMAD4","FBXO34"
"SMAD4","FOXG1"
"SMAD4","FOXO1"
"SMAD4","FOXO3"
"SMAD4","FOXO4"
"SMAD4","HMG20A"
"SMAD4","HNF4A"
"SMAD4","JUNB"
"SMAD4","JUND"
"SMAD4","MEF2A"
"SMAD4","PIAS1"
"SMAD4","PIAS2"
"SMAD4","RBL1"
"SMAD4","SKI"
"SMAD4","SMAD1"
"SMAD4","SMAD2"
"SMAD4","SMAD3"
"SMAD4","SMAD5"
"SMAD4","SNIP1"
"SMAD4","SP1"
"SMAD4","TDG"
"SMAD4","UBE2L3"
"SMAD4","UHRF2"
"SMAD4","ZBTB44"
"SMAD4","ZMYM2"
"SMAD4","ZNF521"
"SMAD5","MEN1"
"SMAD5","SMAD1"
"SMAD5","SMURF1"
"SMAD5","SOX5"
"SMAD5","SOX7"
"SMAD5","SUV39H1"
"SMAD5","ZBTB44"
"SMAD5","ZEB2"
"SMAD5","ZNF184"
"SMAD6","SMAD1"
"SMAD7","ASH1L"
"SMAD7","EP300"
"SMAD7","MBD1"
"SMAD7","SMURF1"
"SMAD7","SOX5"
"SMAD7","ZBTB11"
"SMAD7","ZBTB44"
"SMAD9","AFF1"
"SMAD9","ARID1B"
"SMAD9","ARNT"
"SMAD9","ASH2L"
"SMAD9","BAZ1A"
"SMAD9","CAMSAP1"
"SMAD9","DNAJC7"
"SMAD9","E4F1"
"SMAD9","EXPH5"
"SMAD9","FLI1"
"SMAD9","HEYL"
"SMAD9","LEMD3"
"SMAD9","LNPEP"
"SMAD9","MBD1"
"SMAD9","MCM3AP"
"SMAD9","MGA"
"SMAD9","MTMR10"
"SMAD9","PELP1"
"SMAD9","PIR"
"SMAD9","SECISBP2"
"SMAD9","SF3B1"
"SMAD9","SMAD2"
"SMAD9","SMAD3"
"SMAD9","SMAD4"
"SMAD9","SNRNP70"
"SMAD9","SVEP1"
"SMAD9","UBE3A"
"SMAD9","XAB2"
"SMAD9","ZEB2"
"SMAD9","ZNF557"
"SMAD9","ZNF592"
"SMAD9","ZNF8"
"SMAD9","ZNF83"
"SMARCA2","ARID1B"
"SMARCA2","MECP2"
"SMARCA2","SS18"
"SMARCA4","ARID1A"
"SMARCA4","CHD4"
"SMARCA4","RB1"
"SMARCA4","SMARCB1"
"SMARCA5","BAZ1B"
"SMARCA5","BAZ2A"
"SMARCB1","CEBPB"
"SMARCB1","KLF1"
"SMARCB1","MAP1LC3B"
"SMARCB1","MECP2"
"SMARCB1","RB1"
"SMARCB1","SMARCA4"
"SMARCC1","CEBPB"
"SMARCC1","SIN3A"
"SMARCC1","SMARCA4"
"SMARCC2","BAZ1B"
"SMARCC2","POLR2A"
"SMARCD1","CCDC85B"
"SMARCD1","JUN"
"SMARCD3","SMARCC1"
"SMARCE1","BAZ1B"
"SMARCE1","NCOA3"
"SMARCE1","SMAD1"
"SMC1A","ATM"
"SMC1A","BLM"
"SMC1A","MDC1"
"SMC1A","MSH2"
"SMC1A","NDC80"
"SMC1A","RAD21"
"SMC1A","SMC3"
"SMG1","PRKCI"
"SMG1","UPF1"
"SMG5","UPF1"
"SMG7","SMG5"
"SMN1","CCDC90B"
"SMN1","GEMIN5"
"SMN1","KPNB1"
"SMN1","PDE4DIP"
"SMN1","SDF4"
"SMN1","ZRANB2"
"SMO","PTCH1"
"SMPD3","GDF9"
"SMPD3","PLEKHM1"
"SMPD3","SETDB1"
"SMURF2","HDGFRP3"
"SMURF2","NKIRAS1"
"SMURF2","NRAS"
"SMURF2","RAB13"
"SMURF2","RAB14"
"SMURF2","RAB22A"
"SMURF2","RNF11"
"SMURF2","RNF111"
"SMURF2","RNF2"
"SMURF2","SF3A2"
"SMURF2","SNRNP70"
"SMURF2","SPG20"
"SMURF2","TNPO3"
"SNAP23","ABI3"
"SNAP23","ITSN1"
"SNAP23","KIF5B"
"SNAP23","SCAMP1"
"SNAP23","SCAMP2"
"SNAP23","STX11"
"SNAP23","STX12"
"SNAP25","STX11"
"SNAP29","STX12"
"SNAP91","OGT"
"SNAPC4","SNAPC2"
"SNAPIN","BLOC1S1"
"SNAPIN","DTNBP1"
"SNAPIN","SNAP25"
"SNAPIN","SPAG5"
"SNCA","APLP1"
"SNCA","CDK4"
"SNCA","GAPDH"
"SNCA","MAP1B"
"SNCA","MAPK8IP1"
"SNCA","PARK2"
"SNCA","PLD1"
"SNCA","SNCAIP"
"SNCA","TH"
"SNCA","YWHAB"
"SNCAIP","SIAH1"
"SNCG","BUB1B"
"SNCG","MAPK1"
"SNCG","MAPK3"
"SNCG","MAPK8"
"SNIP1","EP300"
"SNIP1","PIAS2"
"SNIP1","PIAS4"
"SNIP1","SETDB1"
"SNIP1","ZMYM5"
"SNRNP70","PRPF40A"
"SNRNP70","SRPK1"
"SNRPC","SNRNP70"
"SNRPD1","DDX20"
"SNRPD1","GEMIN4"
"SNRPD1","SNRPB"
"SNRPD1","SNRPD2"
"SNRPD1","WDR77"
"SNRPD2","EEF1G"
"SNRPD2","GEMIN4"
"SNRPD2","GEMIN6"
"SNRPD2","GEMIN7"
"SNRPD2","SNRPF"
"SNRPD2","STXBP3"
"SNRPD3","GEMIN7"
"SNRPD3","SNRPB"
"SNRPD3","SNRPE"
"SNRPD3","SNRPG"
"SNRPD3","WDR77"
"SNRPF","PSMA3"
"SNRPG","TACC1"
"SNRPG","TLE1"
"SNTA1","CNKSR2"
"SNTA1","DGKZ"
"SNTA1","DMD"
"SNTA1","KIF1B"
"SNTA1","MAPK12"
"SNTB1","DGKZ"
"SNTB1","KCNJ12"
"SNTB1","UTRN"
"SNTB2","ABCA1"
"SNTB2","DGKZ"
"SNTB2","DMD"
"SNTB2","ERBB4"
"SNTB2","KCNJ12"
"SNTB2","MAST1"
"SNTB2","SCN4A"
"SNTB2","UTRN"
"SNTG1","KCNA4"
"SNUPN","PAFAH1B2"
"SNUPN","RNF126"
"SNW1","EP300"
"SNW1","RBL1"
"SNX1","INSR"
"SNX2","EGFR"
